map,k,seed_count,mean_reachable_centroid_fraction_mean,mean_reachable_centroid_fraction_std,mean_reachable_centroid_fraction_min,mean_reachable_centroid_fraction_max,never_reachable_centroids_mean,never_reachable_centroids_std,never_reachable_centroids_min,never_reachable_centroids_max,unreachable_more_than_half_centroids_mean,unreachable_more_than_half_centroids_std,unreachable_more_than_half_centroids_min,unreachable_more_than_half_centroids_max,geodesic_to_euclidean_ratio_at_20000_mean,geodesic_to_euclidean_ratio_at_20000_std,geodesic_to_euclidean_ratio_at_20000_min,geodesic_to_euclidean_ratio_at_20000_max
horseshoe,3,5,0.35033756097560975,0.035495537234884876,0.2955317073170732,0.3905170731707317,338.4,30.004999583402764,303.0,382.0,407.6,22.46775467197379,381.0,441.0,1.8620978909076196,0.10324585195102773,1.72657395781495,1.9752829075205343
horseshoe,5,5,0.38166634146341466,0.026816903935845078,0.34064390243902437,0.4063219512195122,319.0,28.469281690973517,290.0,361.0,386.6,16.195678435928517,370.0,410.0,1.322664653091654,0.04322020374081628,1.2751239725524652,1.3932892619411092
horseshoe,10,5,0.42495219512195115,0.026347397344279953,0.3994146341463415,0.4522536585365854,290.2,25.003999680051187,264.0,318.0,360.2,16.115210206509875,343.0,377.0,1.0981784195338724,0.015771935538743835,1.082207946613804,1.1230933261743843
horseshoe,20,5,0.5350321951219512,0.033408563735582535,0.48831219512195123,0.5712780487804878,222.8,28.89982698910151,191.0,265.0,291.6,21.419617176784463,266.0,322.0,1.046307746391254,0.0059767006120185736,1.0374856389866893,1.0521806177039283
horseshoe,30,5,0.6147824390243902,0.039793957373281306,0.5639804878048781,0.6605268292682926,170.8,36.35519220138989,126.0,225.0,245.6,21.949943052317927,215.0,272.0,1.0406223798990115,0.0121565927024094,1.028133847789026,1.060980046336297
open,3,3,0.3697040650406504,0.06339298492245453,0.3232,0.44191219512195123,340.3333333333333,52.30997355508157,280.0,373.0,393.0,41.2189276910499,346.0,423.0,1.8189354799473285,0.17042327165753016,1.6524145656192255,1.993009924695649
open,5,3,0.41704065040650407,0.06354597231034352,0.3746731707317073,0.49010731707317073,311.0,53.70288632839021,249.0,343.0,363.6666666666667,40.463975747982715,317.0,389.0,1.3333763508152117,0.10270467180457257,1.2346458090470998,1.439640300964399
open,10,3,0.4756552845528455,0.05541543569785576,0.4389073170731707,0.5393951219512195,274.3333333333333,51.42308171758411,215.0,306.0,325.0,37.242448899072144,282.0,347.0,1.0963047029211397,0.00842542925511231,1.0873213706661544,1.1040309732485782
open,20,3,0.5845073170731708,0.09275124773273175,0.5122341463414635,0.6890926829268292,204.33333333333334,69.61561127601577,124.0,247.0,257.6666666666667,58.22656896411924,192.0,303.0,1.0402079939219524,0.003364661466927255,1.0377713828246036,1.0440470134109936
open,30,3,0.6773463414634145,0.08931204685408303,0.614790243902439,0.779629268292683,155.66666666666666,62.93912402737532,83.0,193.0,197.0,60.91797764207213,127.0,238.0,1.031248872849815,0.0032646083424451235,1.0279916922580858,1.034520858586287
